id,name,sname,age,email,phone,gender,fk_user_to_role,History,registerDate
42,Silvana,Shishmaryova,66,SilvanaShishmaryovagmail.com,(+380)-88-182-1265,0,2,The user made sales for price:1075R^D^JGPRDL,1/15/2016
43,Lorencza,Kashina,33,LorenczaKashinagmail.com,(+380)-35-763-6816,0,2,The user made sales for price:145GGDNZZPFWQ,11/16/2013
44,Annunchiata,Kreycz,23,AnnunchiataKreyczgmail.com,(+380)-15-898-8698,1,2,The user made sales for price:1181DB^TIRPERD,7/17/2011
45,Margerita,Moiseeva,26,MargeritaMoiseevagmail.com,(+380)-66-366-2312,1,2,The user made sales for price:998_]UAWC^W^L,6/21/2009
46,Ilariya,Czygalskaya,47,IlariyaCzygalskayagmail.com,(+380)-14-228-5613,1,2,The user made sales for price:1641AWUB^]F^BA,10/27/2009
47,Flaviya,Kalechiczkaya,27,FlaviyaKalechiczkayagmail.com,(+380)-63-271-3612,1,2,The user made sales for price:846F_]HVXD[FA,1/22/2000
48,Benedetta,Galiczkaya,34,BenedettaGaliczkayagmail.com,(+380)-96-675-1813,0,2,The user made sales for price:148\FTXX[KNRD,7/2/2008
49,Tereza,Lipkovskaya,52,TerezaLipkovskayagmail.com,(+380)-61-994-8188,1,2,The user made sales for price:106XWZUZYEARG,1/1/2004
50,Marta,Rtishheva,20,MartaRtishhevagmail.com,(+380)-34-228-5551,0,2,The user made sales for price:1391BXTMDPFHNP,6/2/2016
51,Piers,Pitts,48,PiersPitts8gmail.com,(+380)-16-732-8777,1,2,The user made sales for price:1407L\NHTIRHGE,11/2/2010
52,Anthony,Gardner,25,AnthonyGardner6gmail.com,(+380)-92-134-3237,1,2,The user made sales for price:278UDASOQKW_Y,7/7/2010
53,Robert,Lewis,96,RobertLewis3gmail.com,(+380)-65-488-9222,0,2,The user made sales for price:375XBRSG_JEGA,3/20/2013
54,Horatio,Lindsey,40,HoratioLindsey5gmail.com,(+380)-79-723-6532,1,2,The user made sales for price:911Y^QEMPUUJ],9/28/2010
55,Jacob,Green,31,JacobGreen5gmail.com,(+380)-17-855-1429,1,2,The user made sales for price:416EIS_YD]T\N,4/19/2002
56,Justin,Barton,54,JustinBarton6gmail.com,(+380)-12-986-7145,1,2,The user made sales for price:1096MK^WEZVTFW,9/22/2010
57,Rodger,Cobb,38,RodgerCobb2gmail.com,(+380)-61-881-9286,1,2,The user made sales for price:742FT^\[Z_UTL,11/20/2015
58,Steven,Sanders,97,StevenSanders2gmail.com,(+380)-48-155-5537,1,2,The user made sales for price:542SM_J[CWCOC,1/18/2006
59,Malcolm,Rose,20,MalcolmRose4gmail.com,(+380)-94-218-7866,0,2,The user made sales for price:739Y_YUHU[[NG,11/14/2000
60,Shawn,Waters,44,ShawnWaters5gmail.com,(+380)-88-139-2968,1,2,The user made sales for price:1746[QXYUO^]^M,2/24/2004
61,Joseph,Wilson,80,JosephWilson8gmail.com,(+380)-76-868-5238,0,2,The user made sales for price:484^HYXKCTCN],4/18/2000
62,Harold,Hodge,90,HaroldHodge1gmail.com,(+380)-43-163-6918,1,2,The user made sales for price:1649OAMHD[VNHO,10/16/2003
63,Nicholas,Elliott,29,NicholasElliott5gmail.com,(+380)-44-727-6658,1,2,The user made sales for price:1731S\Y^[NXOPC,9/28/2002
64,Kenneth,Stevenson,46,KennethStevenson5gmail.com,(+380)-89-328-9482,0,2,The user made sales for price:493AMQ[MZ]KYQ,1/3/2012
65,Julian,Carpenter,40,JulianCarpenter2gmail.com,(+380)-78-863-9589,0,2,The user made sales for price:1697VLZXSYROGN,12/20/2015
66,Winfred,Thompson,36,WinfredThompson6gmail.com,(+380)-73-826-1467,0,2,The user made sales for price:1708GPRHVDLP_I,9/6/2005
67,Hilary,Barnett,58,HilaryBarnett4gmail.com,(+380)-89-581-1957,0,2,The user made sales for price:724C[HWU\J\LH,4/10/2003
68,Cecil,McDaniel,53,CecilMcDaniel3gmail.com,(+380)-28-318-4333,0,2,The user made sales for price:833SEG_HFC\AO,10/4/2008
69,Wilfrid,Golden,88,WilfridGolden5gmail.com,(+380)-83-598-6175,1,2,The user made sales for price:29YIE^NPSE[],8/7/2017
70,David,Alexander,54,DavidAlexander9gmail.com,(+380)-27-611-3116,1,2,The user made sales for price:1252^\N\GCEPZT,1/25/2020
71,Jack,Wiggins,17,JackWiggins9gmail.com,(+380)-39-833-8393,0,2,The user made sales for price:1402G\^FIDPVQN,1/9/2009
72,Donald,Marshall,32,DonaldMarshall3gmail.com,(+380)-89-564-5555,0,2,The user made sales for price:85FS^GOKHQYR,10/6/2007
73,Martin,McKinney,80,MartinMcKinney7gmail.com,(+380)-96-442-3751,0,2,The user made sales for price:84YOZQU\]CKZ,2/28/2012
74,Richard,McDowell,56,RichardMcDowell3gmail.com,(+380)-88-141-2985,1,2,The user made sales for price:1158]\^MGM^[R],11/19/2009
75,Ronald,Hubbard,95,RonaldHubbard6gmail.com,(+380)-55-167-8624,1,2,The user made sales for price:1768L\TREFWKW[,10/3/2007
76,Sydney,Lloyd,66,SydneyLloyd2gmail.com,(+380)-53-968-9983,1,2,The user made sales for price:9FKALNHHZYE,11/24/2010
77,Joseph,Rogers,88,JosephRogers8gmail.com,(+380)-34-736-1434,0,2,The user made sales for price:718IJFBJTXWBP,10/14/2016
78,Emery,Banks,96,EmeryBanks3gmail.com,(+380)-32-751-2325,1,2,The user made sales for price:512LO^LDC]LCP,9/11/2012
79,Jack,McCarthy,25,JackMcCarthy8gmail.com,(+380)-53-876-6949,0,2,The user made sales for price:1030QOGUSP_UTK,3/28/2020
80,Paul,Nelson,87,PaulNelson9gmail.com,(+380)-69-563-8433,0,2,The user made sales for price:863GE[N\KLCSE,11/28/2017
81,Camron,Hart,22,CamronHart6gmail.com,(+380)-73-685-1676,1,2,The user made sales for price:410ASKKV_HSBW,10/18/2000
82,Alfred,Ross,38,AlfredRoss3gmail.com,(+380)-88-638-8921,1,2,The user made sales for price:943UVHOJAEBO],3/13/2002
83,Esmond,Hardy,70,EsmondHardy7gmail.com,(+380)-67-668-2254,1,2,The user made sales for price:1970T]WSWFIHLM,2/17/2009
84,Paul,Jennings,47,PaulJennings3gmail.com,(+380)-47-436-9692,0,2,The user made sales for price:1084TLXUCBKUZ\,8/5/2015
85,John,Farmer,38,JohnFarmer5gmail.com,(+380)-63-841-9352,0,2,The user made sales for price:753K]WUBFSYIF,1/8/2014
86,Lionel,Neal,78,LionelNeal4gmail.com,(+380)-69-547-7395,0,2,The user made sales for price:916TFXKGWV]QH,9/15/2012
87,Nathan,Wade,89,NathanWade7gmail.com,(+380)-34-967-7925,1,2,The user made sales for price:512ETZVG\_HDG,12/16/2009
88,George,Marsh,100,GeorgeMarsh4gmail.com,(+380)-37-734-9386,1,2,The user made sales for price:1867P]LEY[VWTD,4/28/2014
89,Mark,Conley,67,MarkConley9gmail.com,(+380)-55-218-5965,1,2,The user made sales for price:112LBI\IPZPIK,4/2/2012
90,Joseph,Phelps,53,JosephPhelps8gmail.com,(+380)-31-729-4599,0,2,The user made sales for price:1280AZZ^U^CC[X,4/12/2008
91,Emory,Owen,82,EmoryOwen4gmail.com,(+380)-51-193-5543,0,2,The user made sales for price:461WU^RSNLQKH,1/27/2005
92,Bryce,West,36,BryceWest5gmail.com,(+380)-48-726-2397,1,2,The user made sales for price:620PSVXKF\CBA,3/17/2015
93,Richard,Jordan,36,RichardJordan7gmail.com,(+380)-72-835-1178,0,2,The user made sales for price:1254PIMDBS_QST,12/9/2020
94,Brian,Bennett,24,BrianBennett1gmail.com,(+380)-38-464-3992,0,2,The user made sales for price:579]OUFLKF]UR,5/17/2000
95,Elvin,Harris,25,ElvinHarris3gmail.com,(+380)-18-818-1893,1,2,The user made sales for price:789]KG]BOZOCX,6/2/2000
96,Eustace,Carter,84,EustaceCarter2gmail.com,(+380)-44-416-6632,1,2,The user made sales for price:301BPGIQJQI_A,7/9/2015
97,Sherman,Payne,25,ShermanPayne8gmail.com,(+380)-24-527-2449,1,2,The user made sales for price:327^JMGCVOLW^,9/4/2008
98,Peregrine,Sharp,33,PeregrineSharp1gmail.com,(+380)-62-322-7634,0,2,The user made sales for price:1772YKG]BNPG\A,4/20/2000
99,Derrick,Cross,78,DerrickCross4gmail.com,(+380)-35-871-9646,0,2,The user made sales for price:399Q[TG\JF[MB,2/15/2018
100,William,Quinn,82,WilliamQuinn2gmail.com,(+380)-47-327-3257,0,2,The user made sales for price:851OBEARCHULV,3/22/2008
101,Katrina,Jackson,23,KatrinaJackson3gmail.com,(+380)-31-145-6162,1,2,The user made sales for price:1625DU\ECRHX^H,1/20/2005
102,Colleen,Gregory,63,ColleenGregory7gmail.com,(+380)-31-761-6781,1,2,The user made sales for price:283GJDAZM_\II,1/4/2007
103,Lily,Reeves,84,LilyReeves4gmail.com,(+380)-54-365-2443,1,2,The user made sales for price:1305]HV^_LXP\T,8/15/2003
104,Karen,York,40,KarenYork3gmail.com,(+380)-19-425-3288,0,2,The user made sales for price:1259W^_HKIFRFR,6/28/2004
105,Rosemary,Houston,25,RosemaryHouston2gmail.com,(+380)-84-691-1634,0,2,The user made sales for price:1587MPSNOTR_XG,11/18/2016
106,Caren,Cole,65,CarenCole5gmail.com,(+380)-71-435-3666,1,2,The user made sales for price:770EVTPTLFQQX,11/14/2006
107,Melina,Patrick,64,MelinaPatrick7gmail.com,(+380)-79-481-2528,0,2,The user made sales for price:793HD^KFY[_SI,12/18/2008
108,Emily,Freeman,79,EmilyFreeman4gmail.com,(+380)-19-316-7997,1,2,The user made sales for price:270C[BZYKJM_Z,9/26/2019
109,Kathleen,Harvey,15,KathleenHarvey7gmail.com,(+380)-93-782-8469,0,2,The user made sales for price:642M[YVIS[NS_,3/24/2003
110,Lizbeth,Willis,24,LizbethWillis7gmail.com,(+380)-85-445-7933,1,2,The user made sales for price:1498JHP]WOM_ZR,10/2/2006
111,Helen,Dorsey,57,HelenDorsey1gmail.com,(+380)-65-389-3368,1,2,The user made sales for price:1853VNTD^YAE\U,2/1/2013
112,Estella,Gibson,41,EstellaGibson2gmail.com,(+380)-55-956-7671,1,2,The user made sales for price:1561DNN]Q_KA]Y,5/17/2010
113,Catherine,Norman,84,CatherineNorman9gmail.com,(+380)-13-953-2482,0,2,The user made sales for price:730O[FTL[OODE,10/3/2012
114,Adela,Hodges,46,AdelaHodges8gmail.com,(+380)-64-195-4982,1,2,The user made sales for price:1730BPNHXMK]CC,4/19/2013
115,Claribel,Joseph,78,ClaribelJoseph2gmail.com,(+380)-89-252-5194,1,2,The user made sales for price:922N_\ONMSDT^,6/22/2016
116,Jane,Jefferson,61,JaneJefferson4gmail.com,(+380)-11-791-4822,0,2,The user made sales for price:1629X_HAKSQ[VG,7/2/2000
117,Margaret,Connor,92,MargaretConnor9gmail.com,(+380)-94-478-9781,1,2,The user made sales for price:341UGDXBPGB[I,8/1/2014
118,Ruth,Shelton,52,RuthShelton1gmail.com,(+380)-33-729-8492,0,2,The user made sales for price:424\PK\QUJ]QI,1/11/2019
119,Jane,Jones,67,JaneJones8gmail.com,(+380)-79-433-2437,1,2,The user made sales for price:842UWGMKDWBYJ,9/10/2006
120,Ada,Chase,34,AdaChase5gmail.com,(+380)-53-597-6533,0,2,The user made sales for price:322[Q\\[^KG[U,6/25/2016
121,Sibyl,Russell,20,SibylRussell1gmail.com,(+380)-16-762-8688,1,2,The user made sales for price:483EZSFWGJG]P,7/5/2020
122,Katherine,Ellis,20,KatherineEllis4gmail.com,(+380)-86-353-4389,0,2,The user made sales for price:952TDCS^XBHA_,1/10/2020
123,Annabel,Snow,45,AnnabelSnow7gmail.com,(+380)-45-272-5989,1,2,The user made sales for price:95VF_V]TF_TC,10/8/2002
124,Thomasine,Oliver,58,ThomasineOliver8gmail.com,(+380)-96-733-7253,1,2,The user made sales for price:265VULMUPBPZB,9/27/2008
125,Iris,Woods,35,IrisWoods1gmail.com,(+380)-76-988-3957,1,2,The user made sales for price:1355T[FV]ZD_^U,2/26/2008
126,Lorin,Andrews,76,LorinAndrews4gmail.com,(+380)-26-297-6549,1,2,The user made sales for price:145DRBAFALKPJ,12/8/2014
127,Daisy,Dixon,41,DaisyDixon8gmail.com,(+380)-45-248-8281,1,2,The user made sales for price:1371AIEEKOLLDG,9/8/2014
128,Mary,Stewart,29,MaryStewart5gmail.com,(+380)-44-326-1128,0,2,The user made sales for price:502R[IIEGVJL],8/3/2008
129,Mercy,Cunningham,62,MercyCunningham6gmail.com,(+380)-41-586-4499,0,2,The user made sales for price:1665\FPOZTDYWN,8/8/2016
130,Phyllis,Stafford,70,PhyllisStafford2gmail.com,(+380)-68-896-4743,0,2,The user made sales for price:473AI^CFTZEQ^,9/2/2019
131,Emma,Miles,64,EmmaMiles2gmail.com,(+380)-65-867-5172,0,2,The user made sales for price:1880VL[]YXT^QC,7/26/2018
132,Helen,Dennis,52,HelenDennis5gmail.com,(+380)-15-136-9828,1,2,The user made sales for price:389O[TR_KR]XZ,1/15/2002
133,Anabel,Stokes,84,AnabelStokes1gmail.com,(+380)-83-519-7832,1,2,The user made sales for price:1230X_GD]OX\[N,11/6/2002
134,Patricia,Peters,24,PatriciaPeters1gmail.com,(+380)-36-418-2576,0,2,The user made sales for price:1526IIT_E^JYWL,8/3/2009
135,Georgia,Strickland,17,GeorgiaStrickland4gmail.com,(+380)-35-468-5195,0,2,The user made sales for price:1460JAMCWA]LZI,4/19/2020
136,Donna,Stephens,62,DonnaStephens2gmail.com,(+380)-56-577-6488,1,2,The user made sales for price:1279ION^XV][MY,12/11/2020
137,Margaret,Copeland,64,MargaretCopeland4gmail.com,(+380)-27-157-4119,0,2,The user made sales for price:1702R[UOCEQT^O,8/5/2005
138,Naomi,Murphy,20,NaomiMurphy5gmail.com,(+380)-18-241-4927,1,2,The user made sales for price:1226OSHW\QWHNZ,7/17/2016
139,Gwen,Price,93,GwenPrice6gmail.com,(+380)-67-559-3976,1,2,The user made sales for price:1695XHRAKJBJNT,1/17/2020
140,Regina,Owens,40,ReginaOwens5gmail.com,(+380)-73-361-6944,1,2,The user made sales for price:1641AGHRSQJXAB,9/1/2019
141,Dayna,Phillips,34,DaynaPhillips4gmail.com,(+380)-84-826-4585,1,2,The user made sales for price:1658AYJVVXTHMI,11/24/2007
142,Margaret,Boone,96,MargaretBoone5gmail.com,(+380)-91-193-6819,0,2,The user made sales for price:1517Q]BVRW_A]E,5/9/2011
143,Posy,Wilkerson,42,PosyWilkerson3gmail.com,(+380)-86-498-7749,1,2,The user made sales for price:1591ECRTC[APBM,6/26/2007
144,Eunice,Berry,96,EuniceBerry5gmail.com,(+380)-52-568-7864,0,2,The user made sales for price:1059VUTQLNXEWD,11/21/2020
145,Sharon,Morrison,44,SharonMorrison9gmail.com,(+380)-52-782-5463,1,2,The user made sales for price:873^JFJBF[[XO,9/5/2007
146,Olivia,Hicks,36,OliviaHicks9gmail.com,(+380)-72-124-2898,0,2,The user made sales for price:100]NZMZIW\^B,9/17/2007
147,Bethanie,Porter,81,BethaniePorter5gmail.com,(+380)-88-388-7733,1,2,The user made sales for price:1571LEAWILLRQH,1/17/2020
148,Georgina,Stanley,22,GeorginaStanley5gmail.com,(+380)-15-337-5272,1,2,The user made sales for price:1907]IEIOOVHYV,3/3/2017
149,Virginia,Hensley,35,VirginiaHensley5gmail.com,(+380)-11-363-7784,1,2,The user made sales for price:176EO__GR_NHL,12/25/2009
150,Cecilia,Douglas,50,CeciliaDouglas7gmail.com,(+380)-17-218-9263,1,2,The user made sales for price:1845NHYPOEL_\\,4/19/2009
151,Harry,Chandler,67,HarryChandler4gmail.com,(+380)-83-899-6462,0,2,The user made sales for price:1840NWOI_ZFCPZ,7/25/2004
152,Ronald,May,60,RonaldMay2gmail.com,(+380)-42-869-5897,0,2,The user made sales for price:702]CAHCZC_OK,9/13/2018
153,Robert,Bailey,17,RobertBailey9gmail.com,(+380)-71-422-1279,1,2,The user made sales for price:1173XVFMHHDDCF,9/15/2008
154,Paul,Campbell,76,PaulCampbell2gmail.com,(+380)-82-623-9257,1,2,The user made sales for price:1360R_^YAK\MYN,8/16/2018
155,Trevor,Palmer,61,TrevorPalmer7gmail.com,(+380)-32-179-3174,1,2,The user made sales for price:938J[TLM\Q^[D,2/10/2019
156,Donald,Small,67,DonaldSmall3gmail.com,(+380)-39-871-7416,1,2,The user made sales for price:1642A\SB\GZJO^,12/23/2020
157,Charles,Morton,18,CharlesMorton9gmail.com,(+380)-79-657-3656,1,2,The user made sales for price:350IZMV]TDI_A,1/8/2012
158,Henry,Norton,37,HenryNorton4gmail.com,(+380)-73-614-3462,0,2,The user made sales for price:1499JXHZGSW^KL,8/2/2016
159,Peter,Mosley,93,PeterMosley6gmail.com,(+380)-78-616-2947,0,2,The user made sales for price:1959RUCCDWMUZD,3/7/2000
160,Randell,Maxwell,52,RandellMaxwell2gmail.com,(+380)-98-768-4525,0,2,The user made sales for price:80AGIXQAY\IV,10/21/2009
161,Edgar,Baldwin,92,EdgarBaldwin5gmail.com,(+380)-24-438-7453,1,2,The user made sales for price:427UBA\\NZPJI,1/9/2019
162,Albert,Reed,22,AlbertReed7gmail.com,(+380)-47-544-9158,0,2,The user made sales for price:1633VVSWHSZPBA,10/25/2010
163,Buck,Thomas,99,BuckThomas4gmail.com,(+380)-76-898-5642,0,2,The user made sales for price:172_HYOA]F[]P,1/22/2016
164,Simon,Powell,62,SimonPowell7gmail.com,(+380)-17-291-2162,1,2,The user made sales for price:1503GIOW\GKW^G,3/16/2001
165,Clinton,Poole,97,ClintonPoole7gmail.com,(+380)-49-756-8317,0,2,The user made sales for price:1719ASBXMXZNDU,8/22/2016
166,Domenic,Webster,57,DomenicWebster1gmail.com,(+380)-66-845-6492,1,2,The user made sales for price:1312FUYFIDTHDQ,6/23/2010
167,Robert,Roberts,48,RobertRoberts4gmail.com,(+380)-28-655-9846,1,2,The user made sales for price:529XPQVGC_AQH,7/13/2015
168,Camron,Whitehead,27,CamronWhitehead9gmail.com,(+380)-28-215-8546,0,2,The user made sales for price:212IZIGPYYJEK,9/18/2006
169,Samson,Curtis,98,SamsonCurtis4gmail.com,(+380)-48-156-3614,0,2,The user made sales for price:1565WCTJI[_FVS,8/24/2008
170,Jack,Pope,15,JackPope6gmail.com,(+380)-44-932-3995,0,2,The user made sales for price:1776BG[ZYCNGA_,12/10/2012
171,Shannon,Mitchell,61,ShannonMitchell9gmail.com,(+380)-42-493-3578,1,2,The user made sales for price:1004ZOA_KS_LA],9/3/2018
172,Steven,Mills,37,StevenMills9gmail.com,(+380)-48-382-1419,1,2,The user made sales for price:652OQH[WPRCHG,3/25/2007
173,Morris,Morris,71,MorrisMorris3gmail.com,(+380)-82-893-9115,0,2,The user made sales for price:1039GFJE[\HCQR,4/18/2004
174,Alan,Daniel,90,AlanDaniel4gmail.com,(+380)-73-111-4492,1,2,The user made sales for price:36VBORYI_^KC,10/1/2006
175,Peter,Fox,23,PeterFox9gmail.com,(+380)-43-975-4594,0,2,The user made sales for price:904^JWN[POAZI,4/22/2014
176,Blake,Potter,21,BlakePotter6gmail.com,(+380)-49-225-7175,0,2,The user made sales for price:1120[XVBOVKWUD,11/2/2019
177,David,Moore,81,DavidMoore6gmail.com,(+380)-41-424-5215,1,2,The user made sales for price:1661KBLXSPZUCK,8/20/2002
178,Adrian,Harrison,81,AdrianHarrison6gmail.com,(+380)-77-649-9988,1,2,The user made sales for price:948ZL^IKYRRSN,4/2/2012
179,Maximilian,Robertson,59,MaximilianRobertson3gmail.com,(+380)-14-326-4747,0,2,The user made sales for price:586LWZBU[ZEY[,12/7/2011
180,Jeremy,Barber,34,JeremyBarber4gmail.com,(+380)-56-924-2847,1,2,The user made sales for price:1028UZ_TW]EO\J,10/2/2020
181,Lenard,Wheeler,86,LenardWheeler2gmail.com,(+380)-61-219-1587,1,2,The user made sales for price:533KRJFT]_Q[],10/28/2006
182,Osborn,Shaw,24,OsbornShaw3gmail.com,(+380)-17-586-6463,1,2,The user made sales for price:562OVYH[GGTPA,4/23/2018
183,Terence,Davidson,80,TerenceDavidson6gmail.com,(+380)-79-366-7277,1,2,The user made sales for price:1201[QNL\GNHE^,8/14/2014
184,Justin,Flynn,41,JustinFlynn3gmail.com,(+380)-74-994-7132,0,2,The user made sales for price:1276Q^UQVGMTSL,1/7/2000
185,Robert,Williams,36,RobertWilliams9gmail.com,(+380)-51-533-3888,1,2,The user made sales for price:1079PJEKEY]PFX,12/6/2003
186,Moses,Singleton,20,MosesSingleton5gmail.com,(+380)-71-988-6845,1,2,The user made sales for price:1605WPAPKTYB[P,12/26/2002
187,Emil,Daniels,82,EmilDaniels2gmail.com,(+380)-57-981-4917,0,2,The user made sales for price:658KGIV]ZW]AK,12/27/2018
188,Bryan,Cook,59,BryanCook5gmail.com,(+380)-56-799-2368,1,2,The user made sales for price:58\W]PFYM^MT,10/10/2017
189,Steven,Watts,38,StevenWatts5gmail.com,(+380)-89-937-4383,0,2,The user made sales for price:360DF^]IAARMI,2/10/2003
190,Adam,Gallagher,76,AdamGallagher9gmail.com,(+380)-29-984-6851,0,2,The user made sales for price:1536SLXUZ_XS]S,6/23/2001
191,Richard,Haynes,47,RichardHaynes6gmail.com,(+380)-69-719-3435,0,2,The user made sales for price:4QAD\KGFGMW,6/15/2009
192,Warren,Hampton,29,WarrenHampton6gmail.com,(+380)-53-954-6332,1,2,The user made sales for price:987KFHUYMXI]M,10/27/2000
193,Peter,Shields,24,PeterShields8gmail.com,(+380)-59-442-8952,1,2,The user made sales for price:1675LGSSLTTIMC,6/21/2014
